"Period","Group","Task","Completed","Available","Prepared By","Budget","Responsible","Notes"
"10-12 เดือน","1. กำหนดภาพรวมงานแต่ง","1.1 หาฤกษ์แต่งงาน","No","มี","บ่าวสาว","","",""
"10-12 เดือน","1. กำหนดภาพรวมงานแต่ง","1.2 กำหนดงบประมาณ","No","มี","บ่าวสาว","","",""
"10-12 เดือน","1. กำหนดภาพรวมงานแต่ง","1.3 ร่างรายชื่อแขก (เบื้องต้น)","No","มี","บ่าวสาว","","",""
"10-12 เดือน","1. กำหนดภาพรวมงานแต่ง","1.4 กำหนดจำนวนแขก (ประมาณการ)","No","มี","บ่าวสาว","","",""
"10-12 เดือน","2. เลือกและจองสถานที่จัดงาน","2.1 กำหนดประเภทสถานที่ (โบสถ์, โรงแรม, ริมทะเล, สวน, วัด)","No","มี","บ่าวสาว","","",""
"10-12 เดือน","2. เลือกและจองสถานที่จัดงาน","2.2 สำรวจตัวเลือกสถานที่","No","มี","บ่าวสาว","","",""
"10-12 เดือน","2. เลือกและจองสถานที่จัดงาน","2.3 ติดต่อและจองสถานที่ที่เลือกไว้ล่วงหน้า","No","มี","สถานที่","","",""
"10-12 เดือน","3. จองผู้ให้บริการหลัก (ทีมงานในฝัน)","3.1 เวดดิ้งแพลนเนอร์ (ถ้ามี)","No","ไม่มี","ออแกไนซ์","","",""
"10-12 เดือน","3. จองผู้ให้บริการหลัก (ทีมงานในฝัน)","3.2 ช่างภาพและช่างวิดีโอ","No","มี","ออแกไนซ์","","",""
"6-9 เดือน","4. ออกแบบสไตล์งาน","4.1 เลือกธีมงานและสี","No","มี","บ่าวสาว","5,000-10,000 บาท","เจ้าสาว","เลือกตามสถานที่จัดงาน"
"6-9 เดือน","4. ออกแบบสไตล์งาน","4.2 กำหนดรูปแบบงานเลี้ยง: เช้าเลี้ยงเที่ยง, บ่ายเลี้ยงเย็น, หรือเช้าเลี้ยงเย็น","No","มี","บ่าวสาว","-","ทั้งคู่","ขึ้นกับงบประมาณ"
"6-9 เดือน","5. เลือกแหวนแต่งงาน","5.1 สำรวจแบบแหวน","No","มี","บ่าวสาว","","",""
"6-9 เดือน","5. เลือกแหวนแต่งงาน","5.2 สั่งทำ/ซื้อแหวน","No","มี","บ่าวสาว","","",""
"6-9 เดือน","6. จองผู้ให้บริการเพิ่มเติม","6.1 ร้านชุดแต่งงาน (ทั้งเช่าและสั่งตัด)","No","มี","ออแกไนซ์","15,000-50,000 บาท","","จองล่วงหน้า 3-6 เดือน"
"6-9 เดือน","6. จองผู้ให้บริการเพิ่มเติม","6.2 ช่างแต่งหน้าทำผม","No","มี","ออแกไนซ์","5,000-15,000 บาท","","ลองทำก่อนวันงาน"
"6-9 เดือน","6. จองผู้ให้บริการเพิ่มเติม","6.3 วงดนตรี / DJ","No","มี","ออแกไนซ์","10,000-30,000 บาท","",""
"6-9 เดือน","6. จองผู้ให้บริการเพิ่มเติม","6.4 พิธีกร","No","มี","ออแกไนซ์","3,000-8,000 บาท","",""
"6-9 เดือน","7. เลือกแบบการ์ดเชิญและของชำร่วย","7.1 สำรวจแบบการ์ด","No","มี","บ่าวสาว","3-10 บาท/ใบ","","สั่งทำล่วงหน้า 1-2 เดือน"
"6-9 เดือน","7. เลือกแบบการ์ดเชิญและของชำร่วย","7.2 สำรวจของชำร่วย","No","มี","บ่าวสาว","50-500 บาท/ชิ้น","","เลือกตามงบประมาณ"
"3-5 เดือน","8. จัดการเรื่องแขก","8.1 สรุปรายชื่อแขก","No","มี","บ่าวสาว","","",""
